ID,First Name,Last Name,Email,Car Make,Car Model,VIN,Manufactured Date,Age (Years),Created At
"3b748233-f70c-44ed-a03a-6816d447ad84","Harper","Turner","harper.turner@example.com","Nissan","Rogue","JN8AT2MT5HW123456","2018-09-14","7","Mon Oct 27 2025 13:46:17 GMT+0530 (India Standard Time)"
"2747aec9-d7f9-4416-a1c6-0e3835d71fa8","Harper","Turner","harper.turner@example.com","Nissan","Rogue","JN8AT2MT5HW123456","2018-09-14","7","Sun Oct 26 2025 21:55:06 GMT+0530 (India Standard Time)"
"f10d4515-6cd2-42b6-959a-369d462151b9","Harper","Turner","harper.turner@example.com","Nissan","Rogue","JN8AT2MT5HW123456","2018-09-14","7","Mon Oct 27 2025 20:09:48 GMT+0530 (India Standard Time)"
"81560ecc-b845-450a-9999-247c53135e00","Harper","Turner","harper.turner@example.com","Nissan","Rogue","JN8AT2MT5HW123456","2018-09-14","7","Thu Oct 30 2025 14:39:24 GMT+0530 (India Standard Time)"
"927e28e1-b541-4a6d-970e-a2589215cbc1","Harper","Turner","harper.turner@example.com","Nissan","Rogue","JN8AT2MT5HW123456","2018-09-14","7","Tue Oct 28 2025 20:52:39 GMT+0530 (India Standard Time)"
"3d95d96f-a80c-4ad7-b69c-1e3fc15fa3af","Liam","Mitchell","liam.mitchell@example.com","Ford","Explorer","1FM5K8D82JGA12345","2019-03-25","6","Sun Oct 26 2025 21:55:06 GMT+0530 (India Standard Time)"
"c8b6ad40-5b54-415a-95ec-2356f2d3db65","Liam","Mitchell","liam.mitchell@example.com","Ford","Explorer","1FM5K8D82JGA12345","2019-03-25","6","Mon Oct 27 2025 13:46:17 GMT+0530 (India Standard Time)"
"70380d2a-3235-47e1-91ed-d2df07a7ba68","Liam","Mitchell","liam.mitchell@example.com","Ford","Explorer","1FM5K8D82JGA12345","2019-03-25","6","Mon Oct 27 2025 20:09:48 GMT+0530 (India Standard Time)"
"6ba31358-482d-4248-ad42-7d0ebdf27063","Liam","Mitchell","liam.mitchell@example.com","Ford","Explorer","1FM5K8D82JGA12345","2019-03-25","6","Tue Oct 28 2025 20:52:39 GMT+0530 (India Standard Time)"
"471d5550-7870-4ca1-9d02-a573f758ea08","Liam","Mitchell","liam.mitchell@example.com","Ford","Explorer","1FM5K8D82JGA12345","2019-03-25","6","Thu Oct 30 2025 14:39:24 GMT+0530 (India Standard Time)"
"ee4cde27-45d7-44bb-870f-1dc1deea33e4","Avery","Evans","avery.evans@example.com","Honda","Accord","1HGCV1F30JA123456","2020-10-05","5","Tue Oct 28 2025 20:52:39 GMT+0530 (India Standard Time)"
"34a2e726-67c2-4823-8186-0e687fd86609","Avery","Evans","avery.evans@example.com","Honda","Accord","1HGCV1F30JA123456","2020-10-05","5","Mon Oct 27 2025 13:46:17 GMT+0530 (India Standard Time)"
"d2fe223d-5ceb-45e5-99a5-63eac44fe548","Avery","Evans","avery.evans@example.com","Honda","Accord","1HGCV1F30JA123456","2020-10-05","5","Sun Oct 26 2025 21:55:06 GMT+0530 (India Standard Time)"
"d5be2d17-e248-4687-88cb-81de240db534","Avery","Evans","avery.evans@example.com","Honda","Accord","1HGCV1F30JA123456","2020-10-05","5","Mon Oct 27 2025 20:09:48 GMT+0530 (India Standard Time)"
"164aef8e-77ef-4f10-85f8-82c965693202","Avery","Evans","avery.evans@example.com","Honda","Accord","1HGCV1F30JA123456","2020-10-05","5","Thu Oct 30 2025 14:39:24 GMT+0530 (India Standard Time)"
