ID,First Name,Last Name,Email,Car Make,Car Model,VIN,Manufactured Date,Age (Years),Created At
"2747aec9-d7f9-4416-a1c6-0e3835d71fa8","Harper","Turner","harper.turner@example.com","Nissan","Rogue","JN8AT2MT5HW123456","2018-09-14","7","Sun Oct 26 2025 21:55:06 GMT+0530 (India Standard Time)"
"3b748233-f70c-44ed-a03a-6816d447ad84","Harper","Turner","harper.turner@example.com","Nissan","Rogue","JN8AT2MT5HW123456","2018-09-14","7","Mon Oct 27 2025 13:46:17 GMT+0530 (India Standard Time)"
"3d95d96f-a80c-4ad7-b69c-1e3fc15fa3af","Liam","Mitchell","liam.mitchell@example.com","Ford","Explorer","1FM5K8D82JGA12345","2019-03-25","6","Sun Oct 26 2025 21:55:06 GMT+0530 (India Standard Time)"
"c8b6ad40-5b54-415a-95ec-2356f2d3db65","Liam","Mitchell","liam.mitchell@example.com","Ford","Explorer","1FM5K8D82JGA12345","2019-03-25","6","Mon Oct 27 2025 13:46:17 GMT+0530 (India Standard Time)"
"34a2e726-67c2-4823-8186-0e687fd86609","Avery","Evans","avery.evans@example.com","Honda","Accord","1HGCV1F30JA123456","2020-10-05","5","Mon Oct 27 2025 13:46:17 GMT+0530 (India Standard Time)"
"d2fe223d-5ceb-45e5-99a5-63eac44fe548","Avery","Evans","avery.evans@example.com","Honda","Accord","1HGCV1F30JA123456","2020-10-05","5","Sun Oct 26 2025 21:55:06 GMT+0530 (India Standard Time)"
"d552a4e1-556c-44fb-9310-3dd00e85fb1b","Ethan","Cooper","ethan.cooper@example.com","Toyota","Corolla","5YFBURHE6HP123456","2021-07-19","4","Sun Oct 26 2025 21:55:06 GMT+0530 (India Standard Time)"
"8d6a9cc1-6ad9-4dd7-b18d-339fcf4dc89f","Ethan","Cooper","ethan.cooper@example.com","Toyota","Corolla","5YFBURHE6HP123456","2021-07-19","4","Mon Oct 27 2025 13:46:17 GMT+0530 (India Standard Time)"
"f52dfd12-62df-468b-91f8-4ce620d7b0a1","Noah","Parker","noah.parker@example.com","Hyundai","Elantra","KMHD84LF4JU123456","2022-01-12","3","Mon Oct 27 2025 13:46:17 GMT+0530 (India Standard Time)"
"7d7df8e9-5077-438e-b9e5-4a28a59e9dcf","Noah","Parker","noah.parker@example.com","Hyundai","Elantra","KMHD84LF4JU123456","2022-01-12","3","Sun Oct 26 2025 21:55:06 GMT+0530 (India Standard Time)"
